student_id,school_year,grade_level,section,assessment_quarter,mathematics_grade,english_grade,science_grade,filipino_grade,araling_panlipunan_grade,esp_grade,mapeh_grade,tle_grade,general_average,failed_subjects,present_days,absent_days,late_days,excused_absences,attendance_rate,behavior_core_value,behavior_indicator,behavior_teacher_rating,behavior_quarter,teacher_remarks,intervention_type,intervention_date,intervention_reason,intervention_outcome,improved_after_intervention,risk_status,absent_percentage,late_percentage,high_grade_count,has_intervention,number_of_interventions,risk_label
ST-0011,2024-2025,Grade 4,A,3,82.01,88.54,75.82,74.3,61.7,66.08,73.7,76.15,74.79,2,99,1,0,1,98.75,Excellence,Demonstrates effort and perseverance,RO,3,Requires regular monitoring for academic progress,Unknown,,,Unknown,,At Risk,0.99999999999,0.0,0,1,1,1
ST-0012,2025-2026,Grade 6,B,3,70.4,88.72,84.25,80.7,100.0,77.54,83.26,79.56,83.05,0,100,0,2,1,99.0,Responsibility,Practices honesty,NO,3,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,1,1,1,0
ST-0013,2025-2026,Grade 8,A,3,89.32,71.46,83.32,85.57,81.77,88.29,75.68,66.01,80.18,0,96,4,1,3,94.5,Compassion,Shows respect to teachers and peers,AO,3,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,3.99999999996,0.99999999999,0,1,1,0
ST-0014,2025-2026,Grade 10,B,3,84.15,82.61,68.31,66.22,77.74,73.18,63.93,68.0,73.02,2,100,0,1,1,99.5,Compassion,Completes assignments on time,NO,3,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.0,0.99999999999,0,1,1,0
ST-0015,2024-2025,Grade 6,D,2,72.51,80.13,89.72,71.41,67.47,85.07,78.73,72.08,77.14,0,98,2,4,1,95.5,Responsibility,Practices honesty,AO,2,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,Not At Risk,1.99999999998,3.99999999996,0,1,1,0
ST-0016,2025-2026,Grade 10,B,2,57.8,71.85,50.0,74.18,50.0,57.62,78.28,75.26,64.37,3,98,2,5,1,95.0,Excellence,Shows respect to teachers and peers,SO,2,Demonstrates positive effort in class,Guidance Referral,2025-02-15,Behavior concerns affecting learning,No Change,,At Risk,1.99999999998,4.99999999995,0,1,1,1
ST-0017,2024-2025,Grade 6,A,4,71.42,60.82,70.52,75.32,69.15,67.88,68.46,87.62,71.4,2,99,1,0,0,98.75,Compassion,Demonstrates effort and perseverance,SO,4,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,0.99999999999,0.0,0,1,1,1
ST-0018,2024-2025,Grade 7,D,2,89.08,83.22,73.47,87.99,78.26,77.11,79.81,85.77,81.84,0,100,0,2,1,99.0,Excellence,Demonstrates effort and perseverance,AO,2,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,0,1,1,0
ST-0019,2024-2025,Grade 10,B,3,70.95,67.88,60.41,60.69,61.23,56.7,66.46,76.5,65.1,3,99,1,4,3,96.75,Responsibility,Shows respect to teachers and peers,SO,3,Demonstrates positive effort in class,Guidance Referral,2025-03-15,Frequent absences and missing assignments,Ongoing,,Not At Risk,0.99999999999,3.99999999996,0,1,1,0
ST-0020,2024-2025,Grade 10,D,3,78.68,71.89,85.89,72.68,91.84,74.56,76.88,82.78,79.4,0,100,0,1,1,99.5,Compassion,Practices honesty,SO,3,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,0.99999999999,1,1,1,0
ST-0021,2025-2026,Grade 5,C,3,78.25,71.52,90.6,86.79,75.38,82.38,87.31,91.92,83.02,0,99,1,1,1,98.25,Integrity,Practices honesty,NO,3,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,2,1,1,0
ST-0022,2025-2026,Grade 6,D,4,91.92,79.65,83.68,94.63,76.19,94.15,90.82,73.54,85.57,0,99,1,2,1,97.75,Excellence,Demonstrates effort and perseverance,SO,4,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,4,1,1,0
ST-0023,2024-2025,Grade 9,D,2,69.9,79.6,82.06,73.43,85.64,76.34,83.95,70.4,77.67,0,94,6,0,3,92.5,Respect,Shows respect to teachers and peers,SO,2,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,5.99999999994,0.0,0,1,1,0
ST-0024,2024-2025,Grade 10,A,2,62.81,71.48,50.0,51.39,61.17,51.51,69.17,70.33,60.98,3,99,1,2,1,97.75,Responsibility,Shows respect to teachers and peers,NO,2,Needs follow-up on attendance and punctuality,Guidance Referral,2025-02-15,Need for academic support and monitoring,Ongoing,True,At Risk,0.99999999999,1.99999999998,0,1,1,1
ST-0025,2024-2025,Grade 10,A,3,85.23,78.27,68.9,78.43,66.78,91.75,74.95,79.36,77.96,0,100,0,1,1,99.5,Integrity,Practices honesty,RO,3,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,0.0,0.99999999999,1,1,1,1
ST-0026,2025-2026,Grade 6,B,1,69.81,67.76,66.78,74.63,66.7,75.96,75.53,81.14,72.29,2,99,1,2,1,97.75,Responsibility,Practices honesty,RO,1,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,0.99999999999,1.99999999998,0,1,1,1
ST-0027,2024-2025,Grade 9,D,4,76.97,88.98,70.07,84.93,62.28,100.0,71.9,75.46,78.82,0,96,4,1,0,94.5,Excellence,Completes assignments on time,RO,4,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,3.99999999996,0.99999999999,1,1,1,1
ST-0028,2024-2025,Grade 9,D,3,79.74,84.8,82.98,86.9,81.88,83.72,76.74,80.44,82.15,0,99,1,1,1,98.25,Integrity,Shows respect to teachers and peers,AO,3,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,0,1,1,0
ST-0029,2025-2026,Grade 7,D,4,85.04,80.19,91.53,87.21,72.51,78.83,93.46,95.71,85.56,0,99,1,0,0,98.75,Excellence,Demonstrates effort and perseverance,SO,4,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,3,1,1,0
ST-0030,2025-2026,Grade 7,D,3,74.55,75.64,81.79,64.11,84.74,89.82,82.5,79.84,79.12,0,100,0,0,0,100.0,Compassion,Shows respect to teachers and peers,AO,3,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.0,0.0,0,1,1,0
ST-0031,2025-2026,Grade 9,C,4,64.19,58.12,67.22,67.2,66.96,69.49,66.69,65.92,65.72,3,94,6,3,3,91.0,Compassion,Demonstrates effort and perseverance,NO,4,Requires regular monitoring for academic progress,Behavioral Monitoring,2025-04-15,Declining grades and low class participation,Worsened,False,At Risk,5.99999999994,2.99999999997,0,1,1,1
ST-0032,2025-2026,Grade 7,A,1,88.19,84.13,75.73,69.38,81.9,83.65,86.38,69.01,79.8,0,99,1,2,0,97.75,Compassion,Completes assignments on time,SO,1,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,0,1,1,0
ST-0033,2025-2026,Grade 9,D,1,84.25,84.09,73.05,86.43,77.08,75.6,83.14,79.62,80.41,0,100,0,0,0,100.0,Respect,Demonstrates effort and perseverance,SO,1,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.0,0.0,0,1,1,0
ST-0034,2025-2026,Grade 4,B,3,90.48,87.21,89.48,90.34,92.05,80.23,98.1,87.84,89.47,0,99,1,2,0,97.75,Responsibility,Shows respect to teachers and peers,AO,3,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,4,1,1,0
ST-0035,2024-2025,Grade 9,B,4,72.58,85.85,72.3,83.03,84.5,86.6,72.25,74.05,78.89,0,100,0,0,1,100.0,Excellence,Displays kindness and empathy,RO,4,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,0.0,0,1,1,0
ST-0036,2025-2026,Grade 9,C,4,73.78,92.99,67.67,94.46,96.65,66.07,83.55,89.64,83.1,0,99,1,1,0,98.25,Integrity,Practices honesty,AO,4,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,3,1,1,0
ST-0037,2025-2026,Grade 4,B,3,75.78,83.76,83.58,77.41,82.69,82.67,66.28,89.82,80.25,0,100,0,2,1,99.0,Excellence,Practices honesty,RO,3,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,0,1,1,0
ST-0038,2025-2026,Grade 10,A,1,91.12,85.06,73.77,61.0,77.15,77.3,74.36,75.6,76.92,1,100,0,0,0,100.0,Integrity,Demonstrates effort and perseverance,SO,1,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,0.0,0.0,1,1,1,1
ST-0039,2024-2025,Grade 5,A,4,75.84,83.96,82.25,83.88,88.38,67.58,82.22,78.87,80.37,0,96,4,2,2,94.0,Compassion,Practices honesty,RO,4,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,At Risk,3.99999999996,1.99999999998,0,1,1,1
ST-0040,2024-2025,Grade 7,D,1,61.37,89.48,64.57,63.19,57.22,64.67,69.98,66.33,67.1,3,99,1,1,1,98.25,Excellence,Displays kindness and empathy,SO,1,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,0.99999999999,0.99999999999,0,1,1,1
ST-0041,2024-2025,Grade 8,C,2,79.38,91.24,71.6,77.27,88.95,88.09,84.92,78.83,82.53,0,100,0,1,1,99.5,Responsibility,Displays kindness and empathy,SO,2,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.0,0.99999999999,1,1,1,0
ST-0042,2025-2026,Grade 9,C,1,72.02,67.35,65.51,87.67,74.91,78.15,74.93,82.53,75.38,0,99,1,2,2,97.75,Compassion,Shows respect to teachers and peers,SO,1,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,0,1,1,0
ST-0043,2025-2026,Grade 4,C,2,81.0,74.16,86.81,87.13,100.0,92.65,91.36,89.7,87.85,0,99,1,1,0,98.25,Excellence,Practices honesty,RO,2,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,3,1,1,0
ST-0044,2024-2025,Grade 7,A,4,80.45,77.99,77.48,85.5,68.66,100.0,73.42,96.56,82.51,0,99,1,0,0,98.75,Integrity,Shows respect to teachers and peers,NO,4,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,2,1,1,0
ST-0045,2024-2025,Grade 4,C,2,89.39,76.28,72.45,77.93,86.77,100.0,89.59,75.35,83.47,0,100,0,2,1,99.0,Respect,Shows respect to teachers and peers,SO,2,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,1,1,1,0
ST-0046,2024-2025,Grade 6,B,3,81.3,77.35,66.81,82.44,68.65,76.94,66.09,66.02,73.2,2,99,1,1,0,98.25,Respect,Practices honesty,RO,3,Demonstrates positive effort in class,Academic Monitoring,2025-03-15,Declining grades and low class participation,Worsened,,At Risk,0.99999999999,0.99999999999,0,1,1,1
ST-0047,2024-2025,Grade 4,C,2,61.8,97.3,65.43,72.89,71.48,73.32,71.39,59.92,71.69,2,99,1,2,1,97.75,Responsibility,Practices honesty,SO,2,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,At Risk,0.99999999999,1.99999999998,1,1,1,1
ST-0048,2025-2026,Grade 7,D,1,94.18,79.7,79.55,84.06,90.61,88.85,84.74,76.08,84.72,0,100,0,0,1,100.0,Integrity,Displays kindness and empathy,SO,1,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.0,0.0,2,1,1,0
ST-0049,2024-2025,Grade 6,C,3,63.77,78.72,75.12,75.04,71.84,80.15,59.6,65.96,71.28,2,99,1,2,1,97.75,Compassion,Displays kindness and empathy,RO,3,Needs follow-up on attendance and punctuality,Attendance Monitoring,2025-03-15,Declining grades and low class participation,Ongoing,False,At Risk,0.99999999999,1.99999999998,0,1,1,1
ST-0050,2024-2025,Grade 5,B,4,70.04,76.89,73.69,80.02,75.8,86.23,90.23,75.1,78.5,1,99,1,0,1,98.75,Integrity,Practices honesty,AO,4,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,1,1,1,0
ST-0051,2025-2026,Grade 7,C,2,75.07,71.46,78.37,77.97,71.32,87.7,88.35,80.71,78.87,0,98,2,0,1,97.5,Responsibility,Completes assignments on time,SO,2,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,1.99999999998,0.0,0,1,1,1
ST-0052,2024-2025,Grade 8,C,1,79.38,84.01,79.73,91.32,73.86,90.96,83.0,91.7,84.25,0,99,1,0,1,98.75,Compassion,Shows respect to teachers and peers,AO,1,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,3,1,1,0
ST-0053,2024-2025,Grade 5,D,4,80.66,91.29,89.7,93.82,92.51,92.77,93.16,81.67,89.45,0,99,1,2,1,97.75,Responsibility,Completes assignments on time,AO,4,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,5,1,1,0
ST-0054,2024-2025,Grade 10,A,2,70.8,77.09,74.06,66.48,66.68,64.13,73.55,100.0,74.1,1,100,0,1,0,99.5,Excellence,Shows respect to teachers and peers,SO,2,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,At Risk,0.0,0.99999999999,1,1,1,1
ST-0055,2024-2025,Grade 6,D,4,76.14,72.9,66.65,69.31,56.11,65.09,75.04,71.69,69.12,3,99,1,1,0,98.25,Respect,Practices honesty,RO,4,Shows potential but needs more consistency,Unknown,,,Unknown,,At Risk,0.99999999999,0.99999999999,0,1,1,1
ST-0056,2025-2026,Grade 9,A,2,63.91,65.64,77.17,66.88,72.43,59.87,82.97,74.73,70.45,2,100,0,0,1,100.0,Excellence,Completes assignments on time,SO,2,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,At Risk,0.0,0.0,0,1,1,1
ST-0057,2024-2025,Grade 8,B,3,91.16,92.3,91.82,88.69,78.87,78.9,93.66,92.77,88.52,0,99,1,2,1,97.75,Excellence,Displays kindness and empathy,AO,3,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,5,1,1,0
ST-0058,2025-2026,Grade 6,B,2,83.27,85.74,82.26,71.25,67.6,78.26,70.38,78.85,77.2,0,99,1,1,1,98.25,Excellence,Completes assignments on time,AO,2,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,0,1,1,0
ST-0059,2024-2025,Grade 7,C,2,83.73,77.49,84.41,100.0,87.01,67.58,89.15,95.11,85.56,0,99,1,1,1,98.25,Integrity,Completes assignments on time,SO,2,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.99999999999,2,1,1,0
ST-0060,2024-2025,Grade 10,C,1,92.87,90.5,84.89,76.23,81.83,76.14,86.74,79.27,83.56,0,100,0,2,0,99.0,Respect,Practices honesty,AO,1,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,2,1,1,0
ST-0061,2025-2026,Grade 8,C,2,89.2,86.99,77.11,83.77,97.06,85.16,66.54,82.8,83.58,0,94,6,2,2,91.5,Responsibility,Completes assignments on time,NO,2,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,5.99999999994,1.99999999998,1,1,1,0
ST-0062,2025-2026,Grade 4,C,2,74.79,80.26,87.95,73.48,88.91,81.52,81.26,84.28,81.56,0,96,4,3,0,93.5,Respect,Demonstrates effort and perseverance,SO,2,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,At Risk,3.99999999996,2.99999999997,0,1,1,1
ST-0063,2024-2025,Grade 8,A,4,78.51,71.81,84.55,82.08,77.37,77.51,69.43,73.31,76.82,0,99,1,2,1,97.75,Integrity,Practices honesty,RO,4,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,0.99999999999,1.99999999998,0,1,1,1
ST-0064,2024-2025,Grade 4,D,1,78.38,68.41,68.62,82.78,71.91,77.4,73.98,53.96,71.93,2,97,3,0,1,96.25,Integrity,Displays kindness and empathy,NO,1,Requires regular monitoring for academic progress,Behavioral Monitoring,2025-01-15,Need for academic support and monitoring,No Change,False,At Risk,2.99999999997,0.0,0,1,1,1
ST-0065,2025-2026,Grade 10,A,4,68.18,73.24,66.46,64.79,63.65,66.52,69.34,63.97,67.02,3,100,0,2,0,99.0,Respect,Shows respect to teachers and peers,NO,4,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,0.0,1.99999999998,0,1,1,1
ST-0066,2025-2026,Grade 8,B,1,88.86,82.58,71.44,83.04,67.04,73.72,70.28,59.89,74.61,2,100,0,2,1,99.0,Compassion,Completes assignments on time,RO,1,Shows potential but needs more consistency,Unknown,,,Unknown,,At Risk,0.0,1.99999999998,0,1,1,1
ST-0067,2024-2025,Grade 9,B,4,74.82,71.77,67.51,69.44,82.55,78.35,80.96,80.06,75.68,0,100,0,2,1,99.0,Compassion,Displays kindness and empathy,NO,4,Shows potential but needs more consistency,Unknown,,,Unknown,,At Risk,0.0,1.99999999998,0,1,1,1
ST-0068,2025-2026,Grade 6,B,2,91.79,94.23,93.22,85.37,73.69,95.29,74.76,80.49,86.11,0,100,0,0,1,100.0,Integrity,Demonstrates effort and perseverance,RO,2,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,0.0,4,1,1,0
ST-0069,2024-2025,Grade 6,A,4,70.08,77.51,81.15,77.0,64.88,81.89,87.41,73.05,76.62,0,100,0,0,1,100.0,Excellence,Displays kindness and empathy,SO,4,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,0.0,0,1,1,0
ST-0070,2025-2026,Grade 5,C,2,72.1,75.88,86.76,91.79,87.66,78.74,85.5,81.17,82.45,0,99,1,0,1,98.75,Responsibility,Demonstrates effort and perseverance,RO,2,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,1,1,1,0
ST-0071,2024-2025,Grade 7,C,3,81.59,86.18,91.01,86.67,77.92,85.03,79.57,79.5,83.43,0,99,1,2,1,97.75,Compassion,Demonstrates effort and perseverance,NO,3,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,1,1,1,0
ST-0072,2024-2025,Grade 6,B,4,78.74,67.69,90.55,70.25,81.3,58.09,74.83,69.46,73.86,2,100,0,2,0,99.0,Responsibility,Completes assignments on time,NO,4,Requires regular monitoring for academic progress,Behavioral Monitoring,2025-04-15,Declining grades and low class participation,Improved,,At Risk,0.0,1.99999999998,1,1,1,1
ST-0073,2025-2026,Grade 4,A,3,74.75,87.02,89.87,78.54,94.84,77.82,87.66,78.19,83.59,0,100,0,1,0,99.5,Excellence,Displays kindness and empathy,SO,3,Requires regular monitoring for academic progress,Unknown,,,Unknown,,At Risk,0.0,0.99999999999,1,1,1,1
ST-0074,2024-2025,Grade 5,A,4,81.53,88.54,78.52,80.64,87.48,87.06,83.72,71.73,82.4,0,99,1,0,1,98.75,Compassion,Completes assignments on time,AO,4,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,0,1,1,0
ST-0075,2025-2026,Grade 8,C,4,74.39,92.01,93.51,82.17,87.02,72.19,84.29,82.08,83.46,0,100,0,2,1,99.0,Respect,Demonstrates effort and perseverance,SO,4,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,2,1,1,0
ST-0076,2024-2025,Grade 8,D,2,80.13,85.74,70.29,82.03,80.5,88.05,72.59,72.47,78.98,0,94,6,4,2,90.5,Integrity,Demonstrates effort and perseverance,RO,2,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,5.99999999994,3.99999999996,0,1,1,1
ST-0077,2025-2026,Grade 5,D,3,78.42,72.11,84.17,94.67,91.54,84.79,81.28,100.0,85.87,0,99,1,2,1,97.75,Integrity,Displays kindness and empathy,SO,3,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,3,1,1,0
ST-0078,2025-2026,Grade 6,A,4,85.15,80.74,100.0,90.71,100.0,95.15,79.61,74.78,88.27,0,100,0,2,0,99.0,Respect,Demonstrates effort and perseverance,SO,4,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,4,1,1,0
ST-0079,2024-2025,Grade 5,A,2,89.99,87.72,89.52,80.24,87.09,77.39,96.49,73.69,85.27,0,96,4,1,3,94.5,Respect,Demonstrates effort and perseverance,SO,2,Improving steadily in class participation,Unknown,,,Unknown,,Not At Risk,3.99999999996,0.99999999999,1,1,1,0
ST-0080,2024-2025,Grade 5,D,2,83.74,91.51,83.66,74.8,85.91,82.13,66.39,68.8,79.62,0,97,3,2,2,95.25,Responsibility,Demonstrates effort and perseverance,RO,2,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,2.99999999997,1.99999999998,1,1,1,1
ST-0081,2025-2026,Grade 5,A,3,75.64,63.42,65.06,72.26,84.73,92.88,91.28,69.09,76.8,1,99,1,0,1,98.75,Compassion,Completes assignments on time,AO,3,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,2,1,1,0
ST-0082,2025-2026,Grade 7,B,4,82.29,82.0,76.01,73.39,87.01,86.03,82.15,91.44,82.54,0,99,1,2,1,97.75,Compassion,Displays kindness and empathy,AO,4,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.99999999999,1.99999999998,1,1,1,0
ST-0083,2024-2025,Grade 5,B,4,66.16,72.71,63.77,73.0,76.75,82.67,77.74,59.81,71.58,2,100,0,1,1,99.5,Respect,Demonstrates effort and perseverance,AO,4,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.0,0.99999999999,0,1,1,0
ST-0084,2024-2025,Grade 8,B,2,77.65,79.64,66.66,80.73,72.29,85.45,80.52,82.72,78.21,0,100,0,2,1,99.0,Responsibility,Demonstrates effort and perseverance,SO,2,Shows potential but needs more consistency,Unknown,,,Unknown,,Not At Risk,0.0,1.99999999998,0,1,1,0
ST-0085,2024-2025,Grade 7,C,1,69.09,77.42,77.91,80.47,68.22,67.53,85.62,75.12,75.17,0,93,7,2,3,90.25,Excellence,Completes assignments on time,SO,1,Needs follow-up on attendance and punctuality,Unknown,,,Unknown,,Not At Risk,6.99999999993,1.99999999998,0,1,1,0
ST-0086,2024-2025,Grade 5,D,2,75.55,72.0,66.1,78.22,81.11,89.57,79.67,100.0,80.28,0,94,6,0,3,92.5,Respect,Completes assignments on time,SO,2,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,5.99999999994,0.0,1,1,1,1
ST-0087,2024-2025,Grade 4,A,4,75.76,84.61,84.3,97.17,90.22,85.83,79.44,96.11,86.68,0,99,1,0,1,98.75,Compassion,Completes assignments on time,RO,4,Requires regular monitoring for academic progress,Unknown,,,Unknown,,Not At Risk,0.99999999999,0.0,3,1,1,0
ST-0088,2024-2025,Grade 7,C,3,62.36,62.99,50.0,69.89,80.24,66.01,72.36,62.76,65.83,3,100,0,0,0,100.0,Responsibility,Displays kindness and empathy,RO,3,Improving steadily in class participation,Unknown,,,Unknown,,At Risk,0.0,0.0,0,1,1,1
ST-0089,2025-2026,Grade 4,D,4,70.56,67.78,84.0,79.6,81.46,78.35,82.6,94.68,79.88,0,95,5,5,0,91.25,Excellence,Completes assignments on time,RO,4,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,4.99999999995,4.99999999995,1,1,1,1
ST-0090,2024-2025,Grade 10,C,3,97.02,95.57,68.28,75.48,70.2,72.39,84.92,69.84,79.21,0,94,6,2,2,91.5,Excellence,Practices honesty,SO,3,Demonstrates positive effort in class,Unknown,,,Unknown,,At Risk,5.99999999994,1.99999999998,2,1,1,1
ST-0091,2024-2025,Grade 10,D,3,75.27,79.03,84.78,86.44,90.95,78.31,79.0,84.08,82.23,0,100,0,1,1,99.5,Compassion,Displays kindness and empathy,AO,3,Demonstrates positive effort in class,Unknown,,,Unknown,,Not At Risk,0.0,0.99999999999,1,1,1,0
